Property_ID,Property,Community,Developer,Property_Type,Bedrooms,Price_AED,ROI,Rental_Yield,Expected_Appreciation,Risk
PID-00257,Royal Residences,Business Bay,Emaar,Townhouse,2 BR,3955934,7.6%,7.5%,High,Low
PID-00258,Vista Living,Dubai Marina,Binghatti,Apartment,Studio,1716580,8.1%,7.9%,High,Low
PID-00259,Azure Place,Dubai Marina,Emaar,Villa,4 BR,2959443,7.3%,8.2%,High,Low
PID-00260,Creek Collection,JVC,Danube,Villa,Studio,1501095,8.4%,8.1%,Medium,Medium
PID-00261,Grand One,JVC,Danube,Apartment,Studio,810335,8.4%,7.5%,Medium,Medium
PID-00262,The Residences,Business Bay,Sobha Realty,Apartment,2 BR,2234504,8.8%,6.6%,High,Low
PID-00263,Skyline One,Business Bay,DAMAC,Apartment,Studio,1386231,7.8%,6.5%,High,Low
PID-00264,Central Central,Business Bay,DAMAC,Apartment,4 BR,1254357,7.1%,8.0%,High,Low
PID-00265,Palm Residences,JVC,Emaar,Apartment,Studio,1718280,9.7%,7.7%,Medium,Medium
PID-00266,Elite Square,Business Bay,Emaar,Townhouse,4 BR,2942968,8.1%,8.0%,High,Low
PID-00267,Elite Place,Business Bay,Sobha Realty,Townhouse,2 BR,1527198,7.4%,6.6%,High,Low
PID-00268,Elite One,JVC,Danube,Villa,4 BR,1556037,9.6%,8.1%,Medium,Medium
PID-00269,Canal Vista,Dubai Marina,Emaar,Villa,4 BR,4747048,8.8%,8.3%,High,Low
PID-00270,The Residence,Business Bay,Sobha Realty,Apartment,Studio,3992397,7.5%,6.9%,High,Low
PID-00271,Royal Point,JVC,Danube,Townhouse,Studio,1115721,8.7%,8.4%,Medium,Medium
PID-00272,Harbour Park,Business Bay,DAMAC,Villa,Studio,3855960,8.2%,7.4%,High,Low
PID-00273,Marina Gardens,Dubai Marina,DAMAC,Townhouse,2 BR,2153264,8.5%,8.4%,High,Low
PID-00274,Skyline Place,JVC,Sobha Realty,Villa,4 BR,729501,9.0%,8.8%,Medium,Medium
PID-00275,Elite Point,Business Bay,DAMAC,Villa,4 BR,3121329,7.6%,7.2%,High,Low
PID-00276,Palm One,JVC,DAMAC,Villa,1 BR,883595,8.7%,8.2%,Medium,Medium
PID-00277,The View,Business Bay,Danube,Townhouse,1 BR,1844768,8.3%,7.4%,High,Low
PID-00278,Creek Collection,Dubai Marina,Sobha Realty,Villa,2 BR,3018096,7.9%,6.7%,High,Low
PID-00279,Royal Gardens,Business Bay,Sobha Realty,Townhouse,1 BR,4333597,8.3%,7.8%,High,Low
PID-00280,The Park,Dubai Marina,Binghatti,Villa,1 BR,2442083,7.5%,6.7%,High,Low
PID-00281,Harbour Gardens,JVC,DAMAC,Townhouse,4 BR,660224,9.2%,7.9%,Medium,Medium
PID-00282,Canal Collection,Business Bay,Emaar,Villa,4 BR,1643658,7.7%,8.1%,High,Low
PID-00283,Elite Place,Dubai Marina,Binghatti,Villa,3 BR,3320973,7.9%,7.4%,High,Low
PID-00284,Elite Tower,JVC,Danube,Townhouse,3 BR,1912746,8.4%,8.9%,Medium,Medium
PID-00285,Central Vista,Dubai Marina,DAMAC,Townhouse,1 BR,2066950,8.6%,8.1%,High,Low
PID-00286,Palm Residences,JVC,Sobha Realty,Villa,Studio,974137,9.1%,8.3%,Medium,Medium
PID-00287,Elite Collection,Business Bay,Sobha Realty,Villa,1 BR,1704278,7.3%,7.7%,High,Low
PID-00288,Park Central,Business Bay,Emaar,Townhouse,3 BR,3647165,8.0%,7.8%,High,Low
PID-00289,Harbour Residence,Dubai Marina,DAMAC,Apartment,Studio,3524059,7.8%,8.5%,High,Low
PID-00290,Canal Heights,Business Bay,Emaar,Villa,Studio,3450204,8.6%,6.6%,High,Low
PID-00291,The Living,JVC,Danube,Apartment,3 BR,1495214,9.5%,8.8%,Medium,Medium
PID-00292,Elite Residences,JVC,Binghatti,Townhouse,4 BR,1187831,8.9%,8.1%,Medium,Medium
PID-00293,Infinity Residence,JVC,Danube,Townhouse,1 BR,774365,9.0%,8.1%,Medium,Medium
PID-00294,Skyline One,JVC,Danube,Apartment,1 BR,1886233,9.9%,8.8%,Medium,Medium
PID-00295,Grand Square,JVC,Danube,Townhouse,4 BR,1541404,9.0%,8.6%,Medium,Medium
PID-00296,Grand Collection,Dubai Marina,Emaar,Townhouse,3 BR,2978994,8.7%,8.0%,High,Low
PID-00297,Park Living,Business Bay,Emaar,Villa,2 BR,3159071,7.1%,6.9%,High,Low
PID-00298,Azure Vista,Business Bay,Danube,Villa,Studio,4404028,8.5%,7.7%,High,Low
PID-00299,Skyline Central,Business Bay,DAMAC,Apartment,1 BR,1554309,8.3%,8.1%,High,Low
PID-00300,Grand Horizon,Dubai Marina,Sobha Realty,Apartment,1 BR,4499628,8.1%,6.7%,High,Low
PID-00301,Azure Residences,JVC,Sobha Realty,Townhouse,4 BR,1906877,8.1%,7.8%,Medium,Medium
PID-00302,Harbour Place,Dubai Marina,Emaar,Apartment,Studio,2175357,8.6%,6.6%,High,Low
PID-00303,Grand Living,Dubai Marina,DAMAC,Townhouse,4 BR,2869908,8.9%,8.3%,High,Low
PID-00304,Vista Square,Business Bay,Binghatti,Villa,3 BR,3169545,7.3%,7.0%,High,Low
PID-00305,Grand Collection,Business Bay,Emaar,Villa,4 BR,3961371,8.5%,6.9%,High,Low
PID-00306,Creek Gardens,Business Bay,Sobha Realty,Apartment,Studio,3380126,8.4%,7.0%,High,Low
PID-00307,Palm Place,JVC,Sobha Realty,Apartment,1 BR,1915301,9.5%,7.9%,Medium,Medium
PID-00308,Canal Point,Dubai Marina,Sobha Realty,Apartment,Studio,2170035,7.6%,8.3%,High,Low
PID-00309,Grand Residence,Dubai Marina,Danube,Apartment,Studio,4475367,8.3%,7.9%,High,Low
PID-00310,Skyline Horizon,JVC,Emaar,Apartment,1 BR,1437782,8.7%,8.4%,Medium,Medium
PID-00311,Royal Gardens,Dubai Marina,Binghatti,Villa,3 BR,1667806,7.9%,8.0%,High,Low
PID-00312,Skyline One,Business Bay,Emaar,Villa,1 BR,1837673,7.7%,7.8%,High,Low
PID-00313,The Residence,JVC,Danube,Apartment,2 BR,1628764,9.0%,8.5%,Medium,Medium
PID-00314,Ocean Residence,Business Bay,Sobha Realty,Villa,1 BR,2448860,7.0%,7.2%,High,Low
PID-00315,The Vista,JVC,Danube,Townhouse,3 BR,1257607,8.5%,7.7%,Medium,Medium
PID-00316,The View,Dubai Marina,DAMAC,Apartment,Studio,2134943,8.8%,7.9%,High,Low
PID-00317,Palm View,Business Bay,Danube,Apartment,Studio,1217319,8.7%,7.8%,High,Low
PID-00318,Elite Horizon,Dubai Marina,Danube,Apartment,Studio,2265132,8.5%,7.5%,High,Low
PID-00319,Royal Horizon,Business Bay,Danube,Apartment,Studio,3604933,8.4%,6.6%,High,Low
PID-00320,Marina Place,Dubai Marina,Emaar,Apartment,3 BR,3339742,7.4%,8.4%,High,Low
PID-00321,Royal Living,Dubai Marina,Sobha Realty,Villa,3 BR,3960256,8.1%,8.3%,High,Low
PID-00322,Central View,Business Bay,Binghatti,Apartment,Studio,3002677,8.4%,6.9%,High,Low
PID-00323,Infinity View,Dubai Marina,DAMAC,Apartment,4 BR,1846282,7.4%,6.6%,High,Low
PID-00324,Central Park,Dubai Marina,Sobha Realty,Villa,1 BR,3293839,8.9%,8.5%,High,Low
PID-00325,Grand Residence,Dubai Marina,Binghatti,Apartment,4 BR,4519542,7.0%,8.1%,High,Low
PID-00326,Infinity Tower,Business Bay,Danube,Apartment,3 BR,1719848,7.7%,7.5%,High,Low
PID-00327,Royal Horizon,Business Bay,DAMAC,Villa,4 BR,2229064,8.2%,7.3%,High,Low
PID-00328,Infinity Central,JVC,Sobha Realty,Apartment,4 BR,888552,8.1%,8.6%,Medium,Medium
PID-00329,Royal Park,JVC,DAMAC,Townhouse,1 BR,1332351,8.7%,8.8%,Medium,Medium
PID-00330,Skyline Gardens,Business Bay,Sobha Realty,Villa,Studio,1268131,7.8%,6.5%,High,Low
PID-00331,Harbour Square,Business Bay,Sobha Realty,Apartment,4 BR,1894515,7.0%,7.1%,High,Low
PID-00332,Park Residences,Business Bay,Binghatti,Apartment,2 BR,2438434,7.6%,7.5%,High,Low
PID-00333,The One,Dubai Marina,DAMAC,Townhouse,2 BR,4446704,8.5%,7.2%,High,Low
PID-00334,Skyline Horizon,JVC,DAMAC,Townhouse,2 BR,1869201,9.8%,8.8%,Medium,Medium
PID-00335,Creek Living,JVC,DAMAC,Townhouse,1 BR,1179198,8.3%,8.2%,Medium,Medium
PID-00336,Canal Point,Business Bay,DAMAC,Apartment,2 BR,3033392,8.3%,6.7%,High,Low
PID-00337,Park Heights,Dubai Marina,Danube,Apartment,2 BR,4201537,8.9%,6.6%,High,Low
PID-00338,Harbour One,Business Bay,DAMAC,Apartment,Studio,4466706,8.5%,7.0%,High,Low
PID-00339,Park One,JVC,Sobha Realty,Townhouse,Studio,1728764,9.1%,8.3%,Medium,Medium
PID-00340,The Park,Business Bay,Binghatti,Townhouse,3 BR,3397829,8.6%,7.3%,High,Low
PID-00341,Vista View,Dubai Marina,Binghatti,Villa,3 BR,4777111,7.2%,7.6%,High,Low
PID-00342,Canal Place,Dubai Marina,Danube,Villa,2 BR,2715593,7.8%,7.3%,High,Low
PID-00343,Royal Tower,JVC,DAMAC,Villa,Studio,933483,8.3%,7.6%,Medium,Medium
PID-00344,The Vista,Business Bay,Emaar,Villa,4 BR,4468564,7.2%,7.0%,High,Low
PID-00345,Azure Park,JVC,Emaar,Townhouse,3 BR,1869181,9.4%,8.6%,Medium,Medium
PID-00346,Skyline View,Business Bay,Emaar,Villa,Studio,2499388,7.0%,6.6%,High,Low
PID-00347,Central Tower,Business Bay,Binghatti,Apartment,4 BR,4304569,7.5%,7.3%,High,Low
PID-00348,Royal Residence,Dubai Marina,Sobha Realty,Villa,3 BR,2511106,8.5%,7.0%,High,Low
PID-00349,Ocean Vista,Business Bay,Sobha Realty,Apartment,Studio,1296292,8.6%,7.1%,High,Low
PID-00350,Creek Residences,JVC,Emaar,Villa,2 BR,1617663,8.8%,8.1%,Medium,Medium
PID-00351,Grand Gardens,Business Bay,Binghatti,Townhouse,2 BR,3774458,7.2%,7.7%,High,Low
PID-00352,Harbour Horizon,JVC,Emaar,Apartment,2 BR,857581,9.9%,8.5%,Medium,Medium
PID-00353,Ocean Residence,JVC,Danube,Apartment,2 BR,855101,8.1%,8.1%,Medium,Medium
PID-00354,Ocean Horizon,Dubai Marina,Sobha Realty,Townhouse,3 BR,2503388,8.4%,7.8%,High,Low
PID-00355,Infinity Gardens,Dubai Marina,Binghatti,Apartment,4 BR,4644119,8.9%,7.8%,High,Low
PID-00356,Vista Heights,Business Bay,DAMAC,Townhouse,Studio,4421300,8.0%,7.5%,High,Low
PID-00357,Creek Vista,JVC,Sobha Realty,Apartment,4 BR,958050,9.3%,8.9%,Medium,Medium
PID-00358,Royal One,Business Bay,Emaar,Villa,Studio,4349261,8.5%,6.8%,High,Low
PID-00359,Palm Horizon,Dubai Marina,Emaar,Apartment,1 BR,2632669,7.0%,7.1%,High,Low
PID-00360,Canal Square,Business Bay,Danube,Villa,3 BR,2320850,7.6%,7.1%,High,Low
PID-00361,Azure Gardens,Business Bay,Danube,Villa,2 BR,4353476,7.2%,6.9%,High,Low
PID-00362,Vista Living,Business Bay,Binghatti,Apartment,2 BR,3662082,7.8%,6.7%,High,Low
PID-00363,Canal Central,Dubai Marina,Danube,Villa,4 BR,3035160,8.3%,7.7%,High,Low
PID-00364,Vista Park,Business Bay,DAMAC,Apartment,Studio,1988167,7.8%,7.7%,High,Low
PID-00365,Palm Park,Business Bay,Sobha Realty,Apartment,1 BR,2820622,7.8%,6.9%,High,Low
PID-00366,Royal Gardens,Dubai Marina,Sobha Realty,Townhouse,1 BR,1521866,8.4%,7.3%,High,Low
PID-00367,Palm Park,Dubai Marina,Binghatti,Apartment,4 BR,3659443,7.9%,8.4%,High,Low
PID-00368,Infinity One,Dubai Marina,Sobha Realty,Townhouse,2 BR,3449413,7.5%,8.0%,High,Low
PID-00369,Marina Vista,Dubai Marina,Binghatti,Apartment,2 BR,4874657,8.6%,7.0%,High,Low
PID-00370,Royal Place,JVC,DAMAC,Townhouse,1 BR,1221267,9.7%,8.3%,Medium,Medium
PID-00371,Royal Gardens,Dubai Marina,Sobha Realty,Villa,3 BR,4072372,8.4%,8.3%,High,Low
PID-00372,Creek Vista,Business Bay,Danube,Townhouse,2 BR,4157246,8.3%,7.7%,High,Low
PID-00373,Grand One,Dubai Marina,Emaar,Villa,4 BR,1795590,7.2%,6.6%,High,Low
PID-00374,Grand Collection,JVC,Sobha Realty,Townhouse,2 BR,1958390,8.3%,7.8%,Medium,Medium
PID-00375,Marina Tower,Business Bay,Binghatti,Villa,Studio,3360643,8.2%,7.8%,High,Low
PID-00376,Park Point,JVC,Emaar,Villa,3 BR,788086,10.0%,8.1%,Medium,Medium
PID-00377,Azure Collection,JVC,Emaar,Townhouse,2 BR,939112,9.7%,8.9%,Medium,Medium
PID-00378,Grand Tower,Business Bay,Sobha Realty,Townhouse,4 BR,3427245,8.1%,7.2%,High,Low
PID-00379,Infinity Central,Dubai Marina,Emaar,Apartment,1 BR,4325736,8.7%,6.8%,High,Low
PID-00380,Skyline Gardens,JVC,Sobha Realty,Villa,2 BR,1201621,8.8%,8.3%,Medium,Medium
PID-00381,Ocean Park,Business Bay,Binghatti,Apartment,2 BR,1498871,7.9%,6.6%,High,Low
PID-00382,Palm View,Business Bay,Sobha Realty,Apartment,Studio,1714894,8.6%,7.7%,High,Low
PID-00383,Vista Residences,JVC,Binghatti,Apartment,4 BR,1867655,8.7%,8.2%,Medium,Medium
PID-00384,Ocean Tower,Business Bay,Emaar,Townhouse,4 BR,1403571,8.7%,7.9%,High,Low
PID-00385,Canal Square,Business Bay,Sobha Realty,Apartment,Studio,1418223,8.2%,7.6%,High,Low
PID-00386,Marina Gardens,Dubai Marina,DAMAC,Villa,2 BR,4309893,7.1%,6.7%,High,Low
PID-00387,Elite Park,Dubai Marina,Danube,Apartment,3 BR,4551443,8.7%,7.9%,High,Low
PID-00388,Infinity Park,Dubai Marina,DAMAC,Townhouse,3 BR,4460184,8.1%,7.2%,High,Low
PID-00389,Royal Central,Dubai Marina,DAMAC,Villa,4 BR,4189658,7.8%,6.5%,High,Low
PID-00390,The Tower,JVC,Danube,Apartment,3 BR,819839,9.8%,8.9%,Medium,Medium
PID-00391,Park Place,Dubai Marina,Binghatti,Apartment,Studio,4838368,8.6%,7.0%,High,Low
PID-00392,Azure Residences,Dubai Marina,Danube,Townhouse,Studio,1663109,8.2%,8.1%,High,Low
PID-00393,Park Heights,Dubai Marina,DAMAC,Townhouse,4 BR,3763278,8.2%,8.3%,High,Low
PID-00394,Royal Residences,Dubai Marina,DAMAC,Apartment,3 BR,3709115,8.4%,7.5%,High,Low
PID-00395,Grand Gardens,JVC,Emaar,Townhouse,1 BR,1084208,9.9%,7.5%,Medium,Medium
PID-00396,Infinity Place,Business Bay,DAMAC,Townhouse,3 BR,2997795,8.7%,7.4%,High,Low
PID-00397,Canal Collection,JVC,Sobha Realty,Apartment,4 BR,1261940,9.5%,8.3%,Medium,Medium
PID-00398,Palm Heights,Dubai Marina,Danube,Villa,1 BR,1581898,7.6%,8.4%,High,Low
PID-00399,Elite Heights,JVC,Sobha Realty,Villa,2 BR,1795680,9.4%,8.3%,Medium,Medium
PID-00400,Infinity Point,JVC,Binghatti,Villa,2 BR,1115853,9.3%,7.7%,Medium,Medium
PID-00401,Creek Gardens,Dubai Marina,Sobha Realty,Apartment,Studio,3316150,8.5%,8.1%,High,Low
PID-00402,Palm Central,Dubai Marina,Binghatti,Townhouse,1 BR,2726597,8.6%,7.3%,High,Low
PID-00403,Creek Residence,JVC,Binghatti,Villa,3 BR,1284488,8.1%,7.7%,Medium,Medium
PID-00404,Grand One,JVC,Emaar,Apartment,Studio,1385625,8.2%,7.6%,Medium,Medium
PID-00405,Ocean One,JVC,DAMAC,Villa,Studio,1076022,9.2%,8.0%,Medium,Medium
PID-00406,Elite Square,Dubai Marina,Danube,Apartment,1 BR,4346223,8.3%,7.7%,High,Low
PID-00407,Central Vista,JVC,Sobha Realty,Villa,3 BR,1885777,9.3%,9.0%,Medium,Medium
PID-00408,Harbour Residence,Dubai Marina,DAMAC,Apartment,3 BR,2904226,7.7%,8.4%,High,Low
PID-00409,Creek Point,Business Bay,Sobha Realty,Apartment,1 BR,2697266,8.4%,7.1%,High,Low
PID-00410,Creek View,Business Bay,Emaar,Townhouse,Studio,4422721,8.3%,7.4%,High,Low
PID-00411,Ocean Point,Business Bay,Sobha Realty,Apartment,1 BR,3566699,7.9%,7.0%,High,Low
PID-00412,Infinity Square,JVC,Binghatti,Apartment,3 BR,1903759,8.3%,7.5%,Medium,Medium
PID-00413,Skyline Heights,JVC,Sobha Realty,Townhouse,Studio,854367,8.4%,8.7%,Medium,Medium
PID-00414,Ocean Central,JVC,Sobha Realty,Apartment,1 BR,1549633,8.7%,8.9%,Medium,Medium
PID-00415,Marina Central,Business Bay,Danube,Villa,4 BR,3594734,7.9%,6.8%,High,Low
PID-00416,Palm Living,Business Bay,Sobha Realty,Apartment,2 BR,4400652,7.2%,7.2%,High,Low
PID-00417,Skyline Residence,JVC,Sobha Realty,Townhouse,3 BR,1800568,9.9%,7.7%,Medium,Medium
PID-00418,The Central,Dubai Marina,DAMAC,Apartment,4 BR,4722806,7.5%,6.6%,High,Low
PID-00419,Central Residence,Business Bay,DAMAC,Apartment,4 BR,1307433,7.6%,6.5%,High,Low
PID-00420,Ocean Residence,Business Bay,Binghatti,Villa,1 BR,2740770,8.3%,6.5%,High,Low
PID-00421,Royal Tower,Business Bay,Binghatti,Apartment,4 BR,4189167,8.7%,7.5%,High,Low
PID-00422,Grand Place,Business Bay,Sobha Realty,Townhouse,2 BR,2273210,8.7%,6.6%,High,Low
PID-00423,Canal Park,JVC,Binghatti,Townhouse,Studio,1815897,9.2%,8.0%,Medium,Medium
PID-00424,Grand Heights,Dubai Marina,DAMAC,Apartment,1 BR,3517044,7.1%,8.4%,High,Low
PID-00425,Vista Vista,JVC,Emaar,Apartment,Studio,1443892,9.6%,8.2%,Medium,Medium
PID-00426,Elite One,Dubai Marina,Binghatti,Apartment,4 BR,3055848,8.7%,7.7%,High,Low
PID-00427,Elite Central,JVC,Sobha Realty,Villa,1 BR,764275,9.8%,7.5%,Medium,Medium
PID-00428,Palm Living,Dubai Marina,Binghatti,Townhouse,4 BR,2866444,8.0%,8.5%,High,Low
PID-00429,Infinity Park,Dubai Marina,Sobha Realty,Townhouse,2 BR,4954269,8.2%,6.8%,High,Low
PID-00430,The Residence,Dubai Marina,Binghatti,Apartment,1 BR,4546378,8.0%,7.1%,High,Low
PID-00431,Marina Vista,Dubai Marina,Danube,Apartment,4 BR,4155973,7.1%,6.7%,High,Low
PID-00432,Ocean Tower,Business Bay,Emaar,Townhouse,4 BR,1816877,8.6%,7.6%,High,Low
PID-00433,Royal View,JVC,DAMAC,Townhouse,3 BR,1449805,9.7%,8.2%,Medium,Medium
PID-00434,Park Horizon,JVC,Danube,Villa,Studio,921826,8.7%,8.6%,Medium,Medium
PID-00435,Central One,Dubai Marina,Danube,Apartment,4 BR,3244664,7.1%,7.0%,High,Low
PID-00436,Marina Residences,Dubai Marina,Danube,Villa,3 BR,4135333,7.6%,7.2%,High,Low
PID-00437,Azure Collection,JVC,Binghatti,Apartment,1 BR,1451867,8.1%,8.7%,Medium,Medium
PID-00438,Royal Vista,Business Bay,Emaar,Villa,1 BR,3126399,7.9%,6.7%,High,Low
PID-00439,Harbour Point,Dubai Marina,Danube,Townhouse,3 BR,2431287,8.6%,8.4%,High,Low
PID-00440,The Place,Dubai Marina,Danube,Villa,2 BR,3038123,8.4%,8.4%,High,Low
PID-00441,Ocean Collection,Business Bay,DAMAC,Townhouse,2 BR,1201149,7.3%,7.0%,High,Low
PID-00442,Creek Horizon,Business Bay,Binghatti,Villa,3 BR,2282928,7.2%,8.0%,High,Low
PID-00443,Elite Vista,Dubai Marina,Binghatti,Villa,Studio,2750005,7.4%,6.9%,High,Low
PID-00444,Canal Residences,JVC,Binghatti,Townhouse,Studio,1849239,9.9%,8.6%,Medium,Medium
PID-00445,Central Heights,JVC,Binghatti,Apartment,3 BR,1716791,9.6%,8.9%,Medium,Medium
PID-00446,Harbour Heights,JVC,Binghatti,Villa,3 BR,1029953,8.8%,7.7%,Medium,Medium
PID-00447,Harbour Park,JVC,Emaar,Apartment,1 BR,743295,8.5%,8.0%,Medium,Medium
PID-00448,Marina Heights,Dubai Marina,DAMAC,Townhouse,2 BR,3511396,8.9%,7.1%,High,Low
PID-00449,Vista Collection,Dubai Marina,Danube,Villa,2 BR,1758030,8.9%,7.5%,High,Low
PID-00450,Palm Heights,Business Bay,Binghatti,Villa,4 BR,4134614,8.3%,7.2%,High,Low
PID-00451,Vista Gardens,JVC,Emaar,Apartment,1 BR,1005246,8.5%,7.9%,Medium,Medium
PID-00452,Elite Central,Dubai Marina,Binghatti,Townhouse,Studio,4892512,8.9%,6.7%,High,Low
PID-00453,Park Residences,Dubai Marina,Binghatti,Villa,1 BR,3517543,7.3%,7.7%,High,Low
PID-00454,Skyline Living,JVC,DAMAC,Villa,1 BR,1750987,9.1%,8.4%,Medium,Medium
PID-00455,The Gardens,JVC,Danube,Apartment,4 BR,816017,9.0%,8.4%,Medium,Medium
PID-00456,Vista Place,Dubai Marina,Danube,Townhouse,1 BR,1995173,8.4%,8.2%,High,Low
PID-00457,Marina Central,JVC,Emaar,Apartment,1 BR,928936,9.0%,8.5%,Medium,Medium
PID-00458,The Residence,Dubai Marina,Sobha Realty,Apartment,Studio,2077943,8.1%,7.0%,High,Low
PID-00459,Ocean One,JVC,Binghatti,Villa,1 BR,1752550,9.6%,8.0%,Medium,Medium
PID-00460,Skyline Tower,Business Bay,Sobha Realty,Apartment,4 BR,1213272,8.4%,8.1%,High,Low
PID-00461,Canal Park,Business Bay,Emaar,Townhouse,1 BR,3903019,7.1%,7.5%,High,Low
PID-00462,Ocean One,Business Bay,Danube,Apartment,4 BR,3930711,7.6%,7.1%,High,Low
PID-00463,The Gardens,Dubai Marina,Sobha Realty,Apartment,1 BR,4984846,8.7%,6.9%,High,Low
PID-00464,Vista Collection,Dubai Marina,Emaar,Townhouse,2 BR,2215190,7.8%,7.3%,High,Low
PID-00465,Canal Vista,JVC,Emaar,Apartment,3 BR,787653,9.2%,7.8%,Medium,Medium
PID-00466,Ocean Square,Dubai Marina,Binghatti,Villa,1 BR,4549847,7.2%,7.9%,High,Low
PID-00467,Infinity Place,Dubai Marina,DAMAC,Apartment,4 BR,4280451,7.3%,8.3%,High,Low
PID-00468,Ocean Heights,Business Bay,Emaar,Apartment,1 BR,3947073,7.3%,7.3%,High,Low
PID-00469,Marina Heights,JVC,DAMAC,Villa,Studio,1023803,8.8%,8.3%,Medium,Medium
PID-00470,Central Park,JVC,DAMAC,Villa,3 BR,1329589,8.1%,7.8%,Medium,Medium
PID-00471,Infinity Tower,Dubai Marina,Sobha Realty,Apartment,2 BR,1652585,8.0%,7.3%,High,Low
PID-00472,Elite View,JVC,DAMAC,Apartment,3 BR,1851848,8.3%,8.5%,Medium,Medium
PID-00473,Park View,JVC,Sobha Realty,Townhouse,4 BR,1579981,9.2%,8.4%,Medium,Medium
PID-00474,Royal Square,Dubai Marina,Binghatti,Apartment,1 BR,2329873,8.7%,8.1%,High,Low
PID-00475,Marina Living,Business Bay,Danube,Apartment,1 BR,3757160,7.1%,7.8%,High,Low
PID-00476,Royal One,Business Bay,Emaar,Apartment,2 BR,3059731,8.8%,7.0%,High,Low
PID-00477,Azure Gardens,Dubai Marina,Sobha Realty,Townhouse,Studio,2296801,8.5%,8.1%,High,Low
PID-00478,Canal Point,JVC,Danube,Apartment,3 BR,1971888,9.3%,8.9%,Medium,Medium
PID-00479,Ocean Park,Business Bay,Danube,Apartment,2 BR,3081989,8.3%,7.3%,High,Low
PID-00480,Elite Point,JVC,Sobha Realty,Apartment,3 BR,1297499,9.4%,7.8%,Medium,Medium
PID-00481,Marina Place,JVC,DAMAC,Townhouse,2 BR,1292547,9.6%,7.5%,Medium,Medium
PID-00482,Vista Heights,Dubai Marina,Danube,Apartment,1 BR,4407790,7.3%,6.6%,High,Low
PID-00483,The Central,Business Bay,DAMAC,Villa,1 BR,3152725,8.6%,7.5%,High,Low
PID-00484,Grand Vista,JVC,Danube,Villa,4 BR,1172144,8.2%,7.7%,Medium,Medium
PID-00485,Royal View,Dubai Marina,Sobha Realty,Villa,4 BR,3424615,8.6%,6.5%,High,Low
PID-00486,Harbour Point,JVC,Binghatti,Townhouse,2 BR,1652364,9.0%,8.2%,Medium,Medium
PID-00487,Park Point,Business Bay,Sobha Realty,Villa,4 BR,1627095,7.4%,7.8%,High,Low
PID-00488,Canal Square,Dubai Marina,Sobha Realty,Apartment,2 BR,4659571,7.1%,7.9%,High,Low
PID-00489,Royal Collection,JVC,DAMAC,Townhouse,1 BR,1785880,9.2%,8.9%,Medium,Medium
PID-00490,Elite Point,Dubai Marina,Danube,Townhouse,3 BR,3165953,8.0%,6.5%,High,Low
PID-00491,Elite Tower,JVC,Emaar,Townhouse,4 BR,1503990,8.7%,8.6%,Medium,Medium
PID-00492,Canal View,JVC,Sobha Realty,Apartment,4 BR,1909948,9.6%,8.4%,Medium,Medium
PID-00493,Creek One,Dubai Marina,Danube,Villa,4 BR,3390819,8.5%,6.8%,High,Low
PID-00494,Canal Vista,JVC,Binghatti,Townhouse,2 BR,821497,8.0%,7.8%,Medium,Medium
PID-00495,Skyline Horizon,Dubai Marina,Danube,Villa,1 BR,1616993,7.6%,7.3%,High,Low
PID-00496,Elite Heights,Dubai Marina,Danube,Apartment,1 BR,4345224,7.8%,8.4%,High,Low
PID-00497,Royal Vista,Dubai Marina,DAMAC,Townhouse,2 BR,3785968,8.2%,8.0%,High,Low
PID-00498,Azure Tower,JVC,DAMAC,Villa,Studio,962724,8.9%,7.7%,Medium,Medium
PID-00499,The Residences,Dubai Marina,DAMAC,Apartment,1 BR,3062755,8.7%,7.8%,High,Low
PID-00500,Infinity Place,Business Bay,Sobha Realty,Villa,3 BR,3083764,7.2%,7.5%,High,Low
PID-00501,Azure Collection,Business Bay,Binghatti,Townhouse,1 BR,4354618,7.4%,6.9%,High,Low
PID-00502,Infinity Gardens,Business Bay,DAMAC,Townhouse,3 BR,2699216,8.7%,8.0%,High,Low
PID-00503,Vista Vista,Business Bay,Emaar,Villa,2 BR,2085513,8.5%,6.5%,High,Low
PID-00504,Infinity Residences,Dubai Marina,Binghatti,Townhouse,2 BR,2510787,7.7%,8.4%,High,Low
PID-00505,Ocean One,Dubai Marina,DAMAC,Villa,4 BR,4779622,8.6%,7.8%,High,Low
PID-00506,Palm Residences,Business Bay,DAMAC,Villa,Studio,2460854,8.3%,7.1%,High,Low
PID-00507,Ocean Vista,JVC,Binghatti,Villa,2 BR,1908824,9.2%,8.5%,Medium,Medium
PID-00508,Creek Place,Dubai Marina,Emaar,Townhouse,1 BR,2349955,8.6%,7.8%,High,Low
PID-00509,Palm Horizon,JVC,DAMAC,Villa,1 BR,1678154,9.7%,7.8%,Medium,Medium
PID-00510,The Heights,JVC,Binghatti,Townhouse,1 BR,820147,9.7%,8.7%,Medium,Medium
PID-00511,Elite Place,Dubai Marina,Danube,Apartment,1 BR,1513662,7.7%,8.2%,High,Low
PID-00512,Park Central,Dubai Marina,DAMAC,Townhouse,3 BR,3178802,7.5%,7.5%,High,Low
PID-00513,Azure Point,JVC,Emaar,Apartment,2 BR,1842467,9.3%,9.0%,Medium,Medium
